Input Size,Compressed Size
0,0
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,11
10,12
11,13
12,14
13,15
14,16
15,17
16,18
17,20
18,21
19,21
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,30
29,31
30,32
31,33
32,34
33,35
34,36
35,37
36,39
37,40
38,40
39,41
40,42
41,44
42,44
43,45
44,46
45,47
46,49
47,50
48,51
49,52
50,53
51,54
52,55
53,56
54,58
55,58
56,59
57,60
58,61
59,63
60,64
61,65
62,66
63,67
64,68
65,69
66,70
67,72
68,72
69,72
70,73
71,74
72,75
73,76
74,77
75,78
76,79
77,80
78,81
79,82
80,83
81,84
82,85
83,87
84,88
85,89
86,90
87,91
88,92
89,93
90,94
91,95
92,96
93,97
94,98
95,99
96,100
97,101
98,102
99,103
100,104
101,105
102,106
103,107
104,108
105,109
106,109
107,110
108,112
109,113
110,114
111,114
112,115
113,117
114,118
115,119
116,120
117,120
118,122
119,123
120,124
121,125
122,125
123,127
124,128
125,129
126,130
127,131
128,132
129,133
130,134
131,136
132,136
133,137
134,138
135,139
136,139
137,140
138,140
139,142
140,143
141,143
142,144
143,145
144,147
145,147
146,147
147,148
148,149
149,149
150,150
151,150
152,151
153,153
154,153
155,154
156,155
157,156
158,158
159,158
160,159
161,160
162,161
163,163
164,163
165,164
166,165
167,166
168,167
169,167
170,169
171,169
172,170
173,171
174,172
175,174
176,175
177,176
178,177
179,177
180,179
181,180
182,181
183,181
184,182
185,184
186,185
187,185
188,186
189,187
190,189
191,190
192,190
193,190
194,191
195,192
196,193
197,193
198,195
199,195
200,196
201,197
202,198
203,199
204,199
205,201
206,202
207,203
208,204
209,205
210,206
211,206
212,207
213,208
214,209
215,209
216,211
217,211
218,212
219,213
220,214
221,215
222,216
223,217
224,218
225,219
226,219
227,220
228,221
229,222
230,223
231,224
232,225
